Age,AnnualIncome,SpendingScore,GenderEncoded,Cluster,MarketingStrategy
31,43,54,0,4,General Engagement Campaigns
59,43,60,1,0,General Engagement Campaigns
50,43,45,0,0,General Engagement Campaigns
47,43,41,1,0,General Engagement Campaigns
51,44,50,0,0,General Engagement Campaigns
69,44,46,1,0,General Engagement Campaigns
27,46,51,0,4,General Engagement Campaigns
53,46,46,1,0,General Engagement Campaigns
70,46,56,1,0,General Engagement Campaigns
19,46,55,1,2,General Engagement Campaigns
67,47,52,0,0,General Engagement Campaigns
54,47,59,0,0,General Engagement Campaigns
63,48,51,1,0,General Engagement Campaigns
18,48,59,1,2,General Engagement Campaigns
43,48,50,0,4,General Engagement Campaigns
68,48,48,0,0,General Engagement Campaigns
19,48,59,1,2,General Engagement Campaigns
32,48,47,0,4,General Engagement Campaigns
70,49,55,1,0,General Engagement Campaigns
47,49,42,0,0,General Engagement Campaigns
60,50,49,0,0,General Engagement Campaigns
60,50,56,0,0,General Engagement Campaigns
59,54,47,1,0,General Engagement Campaigns
26,54,54,1,2,General Engagement Campaigns
45,54,53,0,3,General Engagement Campaigns
40,54,48,1,2,General Engagement Campaigns
23,54,52,0,4,General Engagement Campaigns
49,54,42,0,0,General Engagement Campaigns
57,54,51,1,0,General Engagement Campaigns
38,54,55,1,2,General Engagement Campaigns
67,54,41,1,0,General Engagement Campaigns
46,54,44,0,3,General Engagement Campaigns
21,54,57,0,4,General Engagement Campaigns
48,54,46,1,0,General Engagement Campaigns
55,57,58,0,0,General Engagement Campaigns
22,57,55,0,4,General Engagement Campaigns
34,58,60,0,4,General Engagement Campaigns
50,58,46,0,0,General Engagement Campaigns
68,59,55,0,0,General Engagement Campaigns
18,59,41,1,2,General Engagement Campaigns
48,60,49,1,0,General Engagement Campaigns
40,60,40,0,3,General Engagement Campaigns
32,60,42,0,4,General Engagement Campaigns
24,60,52,1,2,General Engagement Campaigns
47,60,47,0,3,General Engagement Campaigns
27,60,50,0,4,General Engagement Campaigns
48,61,42,1,0,General Engagement Campaigns
20,61,49,1,2,General Engagement Campaigns
23,62,41,0,4,General Engagement Campaigns
49,62,48,0,3,General Engagement Campaigns
67,62,59,1,0,General Engagement Campaigns
26,62,55,1,2,General Engagement Campaigns
49,62,56,1,0,General Engagement Campaigns
21,62,42,0,4,General Engagement Campaigns
66,63,50,0,0,General Engagement Campaigns
54,63,46,1,0,General Engagement Campaigns
68,63,43,1,0,General Engagement Campaigns
66,63,48,1,0,General Engagement Campaigns
65,63,52,1,0,General Engagement Campaigns
19,63,54,0,4,General Engagement Campaigns
38,64,42,0,3,General Engagement Campaigns
19,64,46,1,2,General Engagement Campaigns
18,65,48,0,4,General Engagement Campaigns
19,65,50,0,4,General Engagement Campaigns
63,65,43,0,0,General Engagement Campaigns
49,65,59,0,3,General Engagement Campaigns
51,67,43,0,3,General Engagement Campaigns
50,67,57,0,3,General Engagement Campaigns
27,67,56,1,2,General Engagement Campaigns
38,67,40,0,3,General Engagement Campaigns
40,69,58,0,3,General Engagement Campaigns
39,69,91,1,2,General Engagement Campaigns
23,70,29,0,3,General Engagement Campaigns
31,70,77,0,3,General Engagement Campaigns
43,71,35,1,1,General Engagement Campaigns
40,71,95,1,2,General Engagement Campaigns
59,71,11,1,1,General Engagement Campaigns
38,71,75,1,2,General Engagement Campaigns
47,71,9,1,1,General Engagement Campaigns
39,71,75,1,2,General Engagement Campaigns
25,72,34,0,3,General Engagement Campaigns
31,72,71,0,3,General Engagement Campaigns
20,73,5,1,1,General Engagement Campaigns
29,73,88,0,3,Flash Sales + Influencer Campaigns
44,73,7,0,3,General Engagement Campaigns
32,73,73,1,2,General Engagement Campaigns
19,74,10,1,1,General Engagement Campaigns
35,74,72,0,3,General Engagement Campaigns
57,75,5,0,0,General Engagement Campaigns
32,75,93,1,2,General Engagement Campaigns
28,76,40,0,3,General Engagement Campaigns
32,76,87,0,3,General Engagement Campaigns
25,77,12,1,1,General Engagement Campaigns
28,77,97,1,2,Flash Sales + Influencer Campaigns
48,77,36,1,1,General Engagement Campaigns
32,77,74,0,3,General Engagement Campaigns
34,78,22,0,3,General Engagement Campaigns
34,78,90,1,2,General Engagement Campaigns
43,78,17,1,1,General Engagement Campaigns
39,78,88,1,2,General Engagement Campaigns
44,78,20,0,3,General Engagement Campaigns
38,78,76,0,3,General Engagement Campaigns
47,78,16,0,3,General Engagement Campaigns
27,78,89,0,3,Flash Sales + Influencer Campaigns
37,78,1,1,1,General Engagement Campaigns
30,78,78,0,3,General Engagement Campaigns
34,78,1,1,1,General Engagement Campaigns
30,78,73,0,3,General Engagement Campaigns
56,79,35,0,3,General Engagement Campaigns
29,79,83,0,3,Flash Sales + Influencer Campaigns
19,81,5,1,1,Premium Ads + Personalized Offers
31,81,93,0,3,General Engagement Campaigns
50,85,26,1,1,Premium Ads + Personalized Offers
36,85,75,0,3,General Engagement Campaigns
42,86,20,1,1,Premium Ads + Personalized Offers
33,86,95,0,3,General Engagement Campaigns
36,87,27,0,3,Premium Ads + Personalized Offers
32,87,63,1,2,General Engagement Campaigns
40,87,13,1,1,Premium Ads + Personalized Offers
28,87,75,1,2,Flash Sales + Influencer Campaigns
36,87,10,1,1,Premium Ads + Personalized Offers
36,87,92,1,2,General Engagement Campaigns
52,88,13,0,3,Premium Ads + Personalized Offers
30,88,86,0,3,General Engagement Campaigns
58,88,15,1,1,Premium Ads + Personalized Offers
27,88,69,1,2,General Engagement Campaigns
59,93,14,1,1,Premium Ads + Personalized Offers
35,93,90,1,2,General Engagement Campaigns
37,97,32,0,3,Premium Ads + Personalized Offers
32,97,86,0,3,General Engagement Campaigns
46,98,15,1,1,Premium Ads + Personalized Offers
29,98,88,0,3,Flash Sales + Influencer Campaigns
41,99,39,0,3,Premium Ads + Personalized Offers
30,99,97,1,2,General Engagement Campaigns
54,101,24,0,3,Premium Ads + Personalized Offers
28,101,68,1,2,General Engagement Campaigns
41,103,17,0,3,Premium Ads + Personalized Offers
36,103,85,0,3,General Engagement Campaigns
34,103,23,0,3,Premium Ads + Personalized Offers
32,103,69,0,3,General Engagement Campaigns
33,113,8,1,1,Premium Ads + Personalized Offers
38,113,91,0,3,General Engagement Campaigns
47,120,16,0,3,Premium Ads + Personalized Offers
35,120,79,0,3,General Engagement Campaigns
45,126,28,0,3,Premium Ads + Personalized Offers
32,126,74,1,2,General Engagement Campaigns
32,137,18,1,1,Premium Ads + Personalized Offers
30,137,83,1,2,General Engagement Campaigns
